Line #,Key,en Version,hy Translation
613,hy.settings.notifications.language_label,In what language do you want to receive the notifications?,In what language do you want to receive the notifications?
614,hy.settings.notifications.following_sub_title,Chai Khana Users You Are Following,Chai Khana Users You Are Following
615,hy.settings.notifications.following_label,"You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image.","You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image."
616,hy.settings.notifications.following_not,"At this time, you are not following any users.","At this time, you are not following any users."
617,hy.settings.notifications.following_title1,Click to unfollow '%{name}',Click to unfollow '%{name}'
618,hy.settings.notifications.following_title2,Click to follow '%{name}',Click to follow '%{name}'
619,hy.settings.notifications.submit,Save Settings,Save Settings
620,hy.imageuploader.missing,An error occurred while processing your image. Please try again.,An error occurred while processing your image. Please try again.
621,hy.imageuploader.invalid_type,Invalid file type. Only .jpg or .png is allowed.,Invalid file type. Only .jpg or .png is allowed.
622,hy.imageuploader.size_limit,Image file size is limited to 4MB,Image file size is limited to 4MB
623,hy.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,Hello %{nickname}!
624,hy.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on Chai Khana, and you can do this through the link below.","Someone has requested a link to change your password on Chai Khana, and you can do this through the link below."
625,hy.devise.mailer.reset_password_instructions.link_title,Change my password,Change my password
626,hy.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","If you didn't request this, please ignore this email."
627,hy.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,Your password won't change until you access the link above and create a new one.
