Line #,Key,en Version,az Translation
463,az.stories.form.hint.tag_list,"Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list.","Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list."
464,az.stories.form.hint.story_type,Select the type of your story.,Select the type of your story.
465,az.stories.form.hint.theme,Select the theme(s) your story belongs to.,Select the theme(s) your story belongs to.
466,az.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","If checked, this story will appear in the slider at the top of the theme page."
467,az.stories.collaborators.title,Collaborators for '%{title}',Collaborators for '%{title}'
468,az.stories.collaborators.owner_header,Story Author,Story Author
469,az.stories.collaborators.collaborators_header,Story Collaborators,Story Collaborators
470,az.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,A story collaborator is someone that has access to edit this story.
471,az.stories.collaborators.editors_header,Editors,Editors
472,az.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.
473,az.stories.collaborators.translators_header,Translators,Translators
474,az.stories.collaborators.translator_explanation,"A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story.","A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story."
475,az.stories.collaborators.remove_title,Remove %{name},Remove %{name}
476,az.stories.collaborators.not_accepted_title,%{name} has not accepted the invitation yet,%{name} has not accepted the invitation yet
477,az.stories.collaborators.add_header,Add Collaborators,Add Collaborators
478,az.stories.collaborators.add_explanation,"For the users you enter below, an email will be sent inviting them to be a collaborator on this story.","For the users you enter below, an email will be sent inviting them to be a collaborator on this story."
479,az.stories.collaborators.editor_label,Enter the names or email addresses of the editors,Enter the names or email addresses of the editors
