Line #,Key,en Version,ru Translation
204,ru.helpers.links.story_menu.title.collaborators,Manage which users have access to edit your story,Manage which users have access to edit your story
205,ru.helpers.links.story_menu.title.preview,See how your story looks,See how your story looks
206,ru.helpers.links.story_menu.title.publish,Make your story viewable to the world,Make your story viewable to the world
207,ru.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,Make your story NOT viewable to the world
208,ru.helpers.links.story_menu.title.review,URL to share this story before publishing,URL to share this story before publishing
209,ru.helpers.links.story_menu.title.clone,Copy this story into a new story,Copy this story into a new story
210,ru.helpers.links.story_menu.title.export,Download the complete story,Download the complete story
211,ru.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Deleting a story cannot be undone
212,ru.helpers.links.story_menu.title.translations,Translate your story into other languages,Translate your story into other languages
213,ru.helpers.titles.new,New %{model},New %{model}
214,ru.helpers.titles.edit,Edit %{model},Edit %{model}
215,ru.helpers.titles.story_list,My Stories,My Stories
216,ru.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","Your nickname is used in the URL to your published stories (e.g., nickname/story-title)"
217,ru.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,Image that is shown in the header bar and on your user page (png and jpg only).
218,ru.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Image that is shown on the Author's page (png and jpg only).
219,ru.helpers.hints.like,Like this story,Like this story
220,ru.helpers.hints.unlike,Unlike this story,Unlike this story
221,ru.helpers.hints.staff_pick,Select as Staff Pick,Select as Staff Pick
222,ru.helpers.hints.staff_unpick,Unselect as Staff Pick,Unselect as Staff Pick
223,ru.helpers.hints.is_staff_pick,Staff Pick,Staff Pick
224,ru.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","If checked, the file to the left will be used for this translation"
225,ru.app.language.en,English,English
226,ru.app.language.ka,ქართული,ქართული
227,ru.app.language.hy,Հայերեն,Հայերեն
228,ru.app.language.ru,Русский,Русский
229,ru.app.language.az,Azərbaycan,Azərbaycan
230,ru.app.buttons.back,View All,View All
231,ru.app.buttons.list,View All,View All
232,ru.app.buttons.admin,Admin Section,Admin Section
233,ru.app.buttons.delete,Delete,Delete
234,ru.app.buttons.edit,Edit,Edit
235,ru.app.buttons.show,Show,Show
236,ru.app.buttons.cancel,Cancel,Cancel
237,ru.app.buttons.update,Update,Update
238,ru.app.buttons.save,Save,Save
239,ru.app.buttons.save_and_next,Save & Next,Save & Next
240,ru.app.buttons.create,Create,Create
241,ru.app.buttons.reset,Reset,Reset
242,ru.app.buttons.remove,Remove,Remove
243,ru.app.buttons.confirm,Are you sure?,Are you sure?
244,ru.app.buttons.new,New,New
245,ru.app.buttons.add_section,Add Section,Add Section
246,ru.app.buttons.add_item,Add Item into Section,Add Item into Section
247,ru.app.buttons.up,Move Selected Section/Item Up,Move Selected Section/Item Up
248,ru.app.buttons.down,Move Selected Section/Item Down,Move Selected Section/Item Down
249,ru.app.buttons.delete_item,Delete Selected Section/Item,Delete Selected Section/Item
250,ru.app.buttons.preview,Preview,Preview
251,ru.app.buttons.preview_image,Preview Image,Preview Image
252,ru.app.buttons.preview_video,Preview Video,Preview Video
253,ru.app.buttons.preview_audio,Listen To Audio,Listen To Audio
254,ru.app.buttons.publish,Publish,Publish
255,ru.app.buttons.unpublish,Unpublish,Unpublish
256,ru.app.buttons.clone,Copy this story into a new story,Copy this story into a new story
257,ru.app.buttons.export,Download the complete story,Download the complete story
258,ru.app.buttons.scroll,Scroll,Scroll
259,ru.app.buttons.reviewer_key,Get URL to share this story before publishing,Get URL to share this story before publishing
260,ru.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,Your story is published so there is no need to share this non-published URL
261,ru.app.buttons.explore,Explore,Explore
262,ru.app.common.app_name_not_trans,Chai Khana,Chai Khana
263,ru.app.common.app_name,Chai Khana,Chai Khana
264,ru.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
265,ru.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
266,ru.app.common.powered_by,Powered by,Powered by
267,ru.app.common.powered_by_js,Jumpstart Georgia,Jumpstart Georgia
268,ru.app.common.powered_by_end,"",""
269,ru.app.common.embed_slogan,Build your story with Chai Khana,Build your story with Chai Khana
270,ru.app.common.added_on,Added on: %{date},Added on: %{date}
271,ru.app.common.last_sign_in,Logged in last: %{date},Logged in last: %{date}
272,ru.app.common.admin,Admin,Admin
273,ru.app.common.sign_out,Sign Out,Sign Out
274,ru.app.common.jumpstart,JumpStart Georgia,JumpStart Georgia
275,ru.app.common.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - We communicate data better!
