Line #,Key,en Version,ru Translation
345,ru.app.msgs.story_duplicate,This story URL already exists.,This story URL already exists.
346,ru.app.msgs.story_url,Story URL will be:,Story URL will be:
347,ru.app.msgs.invitation.accepted,You have accepted the invitation to collaborate on '%{title}',You have accepted the invitation to collaborate on '%{title}'
348,ru.app.msgs.invitation.accepted_already,You have already accepted the invitation to collaborate on '%{title}',You have already accepted the invitation to collaborate on '%{title}'
349,ru.app.msgs.invitation.bad,"Sorry, your invitation could not be found or the story has been deleted.","Sorry, your invitation could not be found or the story has been deleted."
350,ru.app.msgs.invitation.declined,Your invitation was declined,Your invitation was declined
351,ru.app.msgs.one_section.content,Only one Item can be added to a Text section,Only one Item can be added to a Text section
352,ru.app.msgs.one_section.slideshow,Only one Item can be added to an Image Slideshow section,Only one Item can be added to an Image Slideshow section
353,ru.app.msgs.one_section.embed_media,Only one Item can be added to an Embed Online Media section,Only one Item can be added to an Embed Online Media section
354,ru.app.msgs.one_section.youtube,Only one Item can be added to a YouTube section,Only one Item can be added to a YouTube section
355,ru.app.msgs.one_section.general,Only one Item can be added to this type of section,Only one Item can be added to this type of section
356,ru.app.msgs.destroy_story.success,Story was successfully deleted.,Story was successfully deleted.
357,ru.app.msgs.destroy_story.error,Error occurred while deleting the story: %{err},Error occurred while deleting the story: %{err}
358,ru.app.msgs.destroy_item.success,Item was successfully deleted.,Item was successfully deleted.
359,ru.app.msgs.destroy_item.error,Error occurred while deleting the item: %{err},Error occurred while deleting the item: %{err}
360,ru.app.msgs.destroy_item.error_not_found,Item could not be found to delete.,Item could not be found to delete.
361,ru.app.msgs.embed_code,Copy and paste this embed code into your web page,Copy and paste this embed code into your web page
362,ru.app.msgs.collaborators.success_remove,%{name} was removed as a collaborator,%{name} was removed as a collaborator
363,ru.app.msgs.collaborators.user_not_found,User to remove as a collaborator could not be found,User to remove as a collaborator could not be found
364,ru.app.msgs.collaborators.no_permission,You do not have permission to remove this collaborator,You do not have permission to remove this collaborator
365,ru.app.msgs.collaborators.success_invitations,Invitations were sent!,Invitations were sent!
